SEP=;;;;elev agl (ft);lgt type;lgt hr;elev agl (m)
EFINOB 10249;Crane;60.46032598;22.12997601;345;F R;HN;105
EFINOB 29452;Crane;61.50136957;23.61630827;378;F R;HN;115
EFINOB 36980;Crane;61.46027417;23.76585417;394;F R;HN;120
EFINOB 38590;Crane;60.45777778;22.12472222;394;F R;HN;120
EFINOB 43131;Crane;61.49377778;23.77377194;329;F R;HN;100
EFINOB 43422;Crane;60.18727889;24.98166278;584;FLG W;HN;178
EFINOB 43911;Crane;63.0992325;27.74313944;361;F R;HN;110
EFINOB 46209;Crane;60.45194444;22.29444444;348;F R;HN;106
EFINOB 47297;Crane;60.26235361;24.85201417;335;F R;HN;102
