SEP=;;;;elev agl (ft);lgt;lgt hr;elev agl (m)
EFINOB 45847;Mast;64.89166667;27.27638889;460;FLG R;HN;140
EFINOB 45988;Mast;60.87698417;23.46447056;342;F R;HN;104
EFINOB 46001;Mast;62.83352556;21.64826806;489;FLG R;HN;149
EFINOB 46389;Mast;60.96685219;23.37118451;476;FLG R;HN;145
EFINOB 46397;Mast;60.65722222;23.53472222;427;F R;HN;130
EFINOB 46754;Mast;62.47694306;21.53088028;591;FLG W;HN;180
EFINOB 46759;Mast;64.57338722;27.33429194;489;FLG R;HN;149
EFINOB 46782;Mast;63.28131778;22.50812778;411;FLG W;HN;125
EFINOB 46789;Mast;62.74392861;25.71750167;491;FLG R;HN;150
EFINOB 47044;Mast;63.7297975;24.45469583;492;FLG R;HN;150
EFINOB 47302;Mast;63.49763972;24.46628222;525;FLG W;HN;160
EFINOB 47303;Mast;63.41329;24.3426625;525;FLG W;HN;160
EFINOB 47304;Mast;63.45184417;24.51295056;525;FLG W;HN;160
EFINOB 47305;Mast;65.26565917;25.5643675;394;F R;HN;120
