SEP=;;;;elev agl (ft);lgt;lgt hr;elev agl (m)
EFINOB 11751;Mast;67.5670313;24.21141458;414;FLG W;H24;126
EFINOB 11772;Mast;68.41638396;22.83875628;397;F R;HN;121
EFINOB 11785;Mast;61.13134799;28.54139118;693;FLG W;H24;211
EFINOB 11792;Mast;61.1652203;28.78307998;332;F R;HN;101
EFINOB 11813;Mast;61.84076802;28.84053903;413;F R;HN;126
EFINOB 11831;Mast;61.87119945;28.864209;365;F R;HN;111
EFINOB 11846;Mast;62.73526111;29.81670061;329;F R;HN;100
EFINOB 11914;Mast;64.54972439;29.98410257;330;F R;HN;101
EFINOB 11930;Mast;65.68032632;29.29326896;333;F R;HN;101
EFINOB 11943;Mast;66.16019883;29.15217742;394;F R;HN;120
EFINOB 11961;Mast;69.67168932;29.09594338;329;F R;HN;100
EFINOB 11968;Mast;62.73876185;27.54163996;1044;FLG W;H24;318
EFINOB 11984;Mast;62.89326202;27.6520669;366;F R;HN;112
EFINOB 12009;Mast;63.28852129;25.64722905;1054;FLG W;H24;321
EFINOB 12022;Mast;63.22411754;26.79754981;432;F R;HN;132
EFINOB 12073;Mast;63.08442542;27.66245374;437;FLG R;HN;133
EFINOB 12086;Mast;63.37840017;27.76778685;386;F R;HN;118
EFINOB 12108;Mast;63.3655382;28.44354783;464;F R;HN;141
EFINOB 12111;Mast;63.63009903;27.07469474;378;FLG W;H24;115
EFINOB 12123;Mast;63.85811198;27.36556493;353;F R;HN;108
EFINOB 12155;Mast;62.57198699;25.72145886;404;F R;HN;123
EFINOB 12156;Mast;62.60639368;25.67063411;329;F R;HN;100
EFINOB 12160;Mast;62.54904906;25.85109519;329;F R;HN;100
EFINOB 12174;Mast;61.89506961;27.29027412;395;F R;HN;120
EFINOB 12183;Mast;62.26699143;27.13222026;443;F R;HN;135
EFINOB 12194;Mast;61.88918768;27.87630899;332;F R;HN;101
EFINOB 12210;Mast;62.30442681;27.93064199;405;F R;HN;123
EFINOB 12211;Mast;62.34038461;27.8585173;390;F R;HN;119
EFINOB 12251;Mast;61.70406924;27.2545827;364;F R;HN;111
EFINOB 12260;Mast;61.58487897;27.46553098;693;FLG W;H24;211
EFINOB 12303;Mast;62.26903456;21.40395089;423;F R;HN;129
EFINOB 12348;Mast;62.4269473;22.21119317;453;F R;HN;138
EFINOB 12390;Mast;63.09601574;21.64908884;459;FLG R;H24;140
EFINOB 12414;Mast;60.19025408;19.73825115;356;F R;HN;109
EFINOB 12417;Mast;60.01908091;20.00101487;525;F R;HN;160
EFINOB 12430;Mast;60.21272438;20.13422765;696;FLG W;H24;212
EFINOB 12434;Mast;60.12510683;20.65701808;329;F R;HN;100
EFINOB 12449;Mast;60.16823211;21.54701575;352;F R;HN;107
EFINOB 12556;Mast;61.00682487;25.52342872;1073;FLG W;H24;327
EFINOB 12558;Mast;60.97871307;25.64869425;523;F R;HN;159
EFINOB 12559;Mast;60.98007349;25.64357399;500;F R;HN;152
EFINOB 12657;Mast;60.56829492;25.91141557;588;FLG W;H24;179
EFINOB 12679;Mast;60.52045467;26.45368103;331;F R;HN;101
EFINOB 12705;Mast;60.69229256;27.04653919;1044;FLG W;H24;318
EFINOB 12736;Mast;60.84131987;26.59641161;475;F R;HN;145
EFINOB 12781;Mast;61.13488134;26.81398016;366;F R;HN;112
EFINOB 12797;Mast;61.75067199;25.88137331;367;F R;HN;112
EFINOB 12908;Mast;60.12549936;23.49329361;749;FLG W;H24;228
EFINOB 12967;Mast;62.21707518;23.79328036;507;F R;HN;155
EFINOB 12971;Mast;62.24838719;23.87389076;342;F R;HN;104
EFINOB 12972;Mast;62.41878472;22.70294879;430;F R;HN;131
EFINOB 12991;Mast;62.77787769;22.80654456;420;F R;HN;128
EFINOB 13010;Mast;62.52873738;23.84714778;454;F R;HN;138
EFINOB 13029;Mast;62.01503386;24.69502455;378;F R;HN;115
EFINOB 13041;Mast;62.26580077;24.73548608;440;F R;HN;134
EFINOB 13056;Mast;62.33384317;24.87843583;361;F R;HN;110
EFINOB 13059;Mast;62.26405394;25.16312567;433;F R;HN;132
EFINOB 13061;Mast;62.43805862;24.12772006;571;FLG W;H24;174
EFINOB 13072;Mast;62.62495452;24.9167391;333;F R;HN;101
EFINOB 13076;Mast;62.95579569;22.95280644;1060;FLG W;H24;323
EFINOB 13080;Mast;62.95910251;23.01757181;397;F R;HN;121
EFINOB 13095;Mast;63.24389998;22.89372522;348;F R;HN;106
EFINOB 13127;Mast;63.51860722;23.18622005;342;F R;HN;104
EFINOB 13153;Mast;63.47565048;23.79570221;410;F R;HN;125
EFINOB 13158;Mast;63.73519965;23.50512015;686;FLG W;H24;209
EFINOB 13162;Mast;63.83649856;23.88783103;358;F R;HN;109
EFINOB 13168;Mast;60.37684508;22.33494622;1047;FLG W;H24;319
EFINOB 13210;Mast;64.01070813;24.33328453;388;F R;HN;118
EFINOB 13243;Mast;61.26576247;28.02806072;329;F R;HN;100
EFINOB 13316;Mast;60.47916745;25.8760929;329;F R;HN;100
EFINOB 13322;Mast;62.01289819;26.65316278;338;F R;HN;103
EFINOB 13407;Mast;60.57918771;24.12098761;329;F R;HN;100
EFINOB 13475;Mast;65.03453375;25.84347451;1070;FLG W;H24;326
EFINOB 13477;Mast;64.20339971;27.73522086;329;F R;HN;100
EFINOB 13627;Mast;60.2094312;25.05021321;333;F R;HN;101
EFINOB 13795;Mast;60.36811927;26.3431868;430;F R;HN;131
EFINOB 14143;Mast;61.33003832;25.21571729;329;F R;HN;100
EFINOB 14152;Mast;62.00848519;23.00957805;411;F R;HN;125
EFINOB 14206;Mast;62.76401848;25.20759275;384;FLG W;H24;117
EFINOB 14242;Mast;66.15851524;26.23447236;329;F R;HN;100
EFINOB 14311;Mast;62.20693926;25.63926774;1057;FLG W;H24;322
EFINOB 14699;Mast;61.24884442;28.86598091;341;NIL;NIL;104
EFINOB 14762;Mast;62.22271815;24.07037073;427;F R;HN;130
EFINOB 14803;Mast;62.00158776;22.98398292;345;F R;HN;105
EFINOB 14841;Mast;60.64897036;25.84753071;329;F R;HN;100
EFINOB 14935;Mast;61.73006977;23.26570579;394;F R;HN;120
EFINOB 15048;Mast;61.79582772;23.73002538;361;F R;HN;110
EFINOB 15083;Mast;60.83543796;22.0775994;334;F R;HN;102
EFINOB 15217;Mast;61.59561387;22.97109369;411;F R;HN;125
EFINOB 15218;Mast;61.2196476;23.46094021;329;F R;HN;100
EFINOB 15356;Mast;61.3132049;23.38215363;394;FLG R;H24;120
EFINOB 15504;Mast;61.94079566;24.15697217;411;FLG R;H24;125
EFINOB 15636;Mast;62.15168518;23.16150876;394;F R;HN;120
EFINOB 15799;Mast;61.94923067;24.50558928;368;F R;HN;112
EFINOB 15935;Mast;61.7027623;24.57591411;411;FLG R;HN;125
EFINOB 15961;Mast;61.73810317;24.97288568;411;FLG R;H24;125
EFINOB 15962;Mast;61.93351219;22.86703888;394;FLG R;H24;120
EFINOB 16008;Mast;62.00807834;24.07788241;411;FLG R;H24;125
EFINOB 16015;Mast;61.9023067;22.97632997;394;FLG R;H24;120
EFINOB 16085;Mast;61.59438125;24.79910805;411;FLG R;H24;125
EFINOB 16113;Mast;61.74313112;23.57105851;411;FLG R;H24;125
EFINOB 16120;Mast;61.643024;23.23754865;404;FLG R;H24;123
EFINOB 16121;Mast;61.95386574;23.54657962;394;FLG R;H24;120
EFINOB 16125;Mast;61.98737031;24.34233184;397;FLG R;H24;121
EFINOB 16164;Mast;62.09460398;23.81882551;397;FLG R;H24;121
EFINOB 16229;Mast;61.01471738;23.54471648;394;FLG R;H24;120
EFINOB 16246;Mast;61.42719401;25.91997631;394;FLG R;H24;120
EFINOB 16362;Mast;60.71458931;21.76846757;332;F R;HN;101
EFINOB 16402;Mast;61.71361765;24.20361075;397;FLG R;H24;121
EFINOB 16454;Mast;61.08199385;22.06698411;337;F R;HN;103
EFINOB 16550;Mast;62.28701389;21.64148768;696;FLG W;H24;212
EFINOB 16801;Mast;61.79455079;23.2470916;397;FLG R;H24;121
